Team,Round,Date,Year,Total Points,RoundOrder
Adelaide,R1,31/3/2012,2012,19.23,1
Brisbane Lions,R1,31/3/2012,2012,17.17,1
Carlton,R1,29/3/2012,2012,18.17,1
Collingwood,R1,30/3/2012,2012,16.19,1
Essendon,R1,31/3/2012,2012,14.2,1
Fremantle,R1,31/3/2012,2012,16.9,1
Geelong,R1,31/3/2012,2012,15.11,1
Gold Coast,R1,31/3/2012,2012,10.8,1
Greater Western Sydney,R1,24/3/2012,2012,5.7,1
Hawthorn,R1,30/3/2012,2012,20.17,1
Melbourne,R1,31/3/2012,2012,11.12,1
North Melbourne,R1,31/3/2012,2012,15.12,1
Port Adelaide,R1,1/4/2012,2012,13.11,1
Richmond,R1,29/3/2012,2012,12.9,1
St Kilda,R1,1/4/2012,2012,13.7,1
Sydney,R1,24/3/2012,2012,14.16,1
West Coast,R1,1/4/2012,2012,21.1,1
Western Bulldogs,R1,1/4/2012,2012,12.15,1
Adelaide,R2,7/4/2012,2012,11.16,2
Brisbane Lions,R2,5/4/2012,2012,9.9,2
Carlton,R2,5/4/2012,2012,23.16,2
Collingwood,R2,7/4/2012,2012,12.13,2
Essendon,R2,7/4/2012,2012,16.15,2
Fremantle,R2,7/4/2012,2012,12.9,2
Geelong,R2,9/4/2012,2012,14.8,2
Gold Coast,R2,8/4/2012,2012,7.5,2
Greater Western Sydney,R2,8/4/2012,2012,8.6,2
Hawthorn,R2,9/4/2012,2012,13.12,2
Melbourne,R2,7/4/2012,2012,9.4,2
North Melbourne,R2,8/4/2012,2012,28.15,2
Port Adelaide,R2,7/4/2012,2012,13.8,2
Richmond,R2,7/4/2012,2012,8.16,2
St Kilda,R2,8/4/2012,2012,21.13,2
Sydney,R2,7/4/2012,2012,14.1,2
West Coast,R2,7/4/2012,2012,25.16,2
Western Bulldogs,R2,7/4/2012,2012,9.1,2
Adelaide,R3,15/4/2012,2012,12.12,3
Brisbane Lions,R3,14/4/2012,2012,5.5,3
Carlton,R3,13/4/2012,2012,18.14,3
Collingwood,R3,13/4/2012,2012,9.8,3
Essendon,R3,14/4/2012,2012,15.15,3
Fremantle,R3,14/4/2012,2012,8.16,3
Geelong,R3,15/4/2012,2012,16.18,3
Gold Coast,R3,14/4/2012,2012,13.1,3
Greater Western Sydney,R3,15/4/2012,2012,10.9,3
Hawthorn,R3,15/4/2012,2012,21.14,3
Melbourne,R3,14/4/2012,2012,11.8,3
North Melbourne,R3,15/4/2012,2012,20.11,3
Port Adelaide,R3,14/4/2012,2012,12.11,3
Richmond,R3,14/4/2012,2012,20.13,3
St Kilda,R3,14/4/2012,2012,15.13,3
Sydney,R3,14/4/2012,2012,16.9,3
West Coast,R3,15/4/2012,2012,23.12,3
Western Bulldogs,R3,14/4/2012,2012,5.1,3
Adelaide,R4,21/4/2012,2012,13.18,4
Brisbane Lions,R4,21/4/2012,2012,17.9,4
Carlton,R4,21/4/2012,2012,11.13,4
Collingwood,R4,21/4/2012,2012,14.13,4
Essendon,R4,21/4/2012,2012,15.19,4
Fremantle,R4,20/4/2012,2012,14.8,4
Geelong,R4,22/4/2012,2012,11.9,4
Gold Coast,R4,21/4/2012,2012,6.1,4
Greater Western Sydney,R4,21/4/2012,2012,7.8,4
Hawthorn,R4,21/4/2012,2012,5.16,4
Melbourne,R4,22/4/2012,2012,9.13,4
North Melbourne,R4,22/4/2012,2012,10.17,4
Port Adelaide,R4,21/4/2012,2012,10.13,4
Richmond,R4,22/4/2012,2012,9.11,4
St Kilda,R4,20/4/2012,2012,11.13,4
Sydney,R4,22/4/2012,2012,17.11,4
West Coast,R4,21/4/2012,2012,5.21,4
Western Bulldogs,R4,22/4/2012,2012,13.1,4
Adelaide,R5,29/4/2012,2012,16.14,5
Brisbane Lions,R5,28/4/2012,2012,4.17,5
Carlton,R5,27/4/2012,2012,10.5,5
Collingwood,R5,25/4/2012,2012,11.14,5
Essendon,R5,25/4/2012,2012,11.13,5
Fremantle,R5,27/4/2012,2012,7.15,5
Geelong,R5,28/4/2012,2012,12.7,5
Gold Coast,R5,28/4/2012,2012,13.15,5
Greater Western Sydney,R5,28/4/2012,2012,9.8,5
Hawthorn,R5,29/4/2012,2012,10.9,5
Melbourne,R5,28/4/2012,2012,10.6,5
North Melbourne,R5,28/4/2012,2012,17.25,5
Port Adelaide,R5,29/4/2012,2012,14.7,5
Richmond,R5,29/4/2012,2012,14.13,5
St Kilda,R5,28/4/2012,2012,12.12,5
Sydney,R5,29/4/2012,2012,16.1,5
West Coast,R5,29/4/2012,2012,16.11,5
Western Bulldogs,R5,28/4/2012,2012,15.14,5
Adelaide,R6,5/5/2012,2012,15.9,6
Brisbane Lions,R6,5/5/2012,2012,9.8,6
Carlton,R6,6/5/2012,2012,15.2,6
Collingwood,R6,4/5/2012,2012,15.8,6
Essendon,R6,5/5/2012,2012,19.15,6
Fremantle,R6,5/5/2012,2012,14.1,6
Geelong,R6,5/5/2012,2012,17.17,6
Gold Coast,R6,5/5/2012,2012,14.3,6
Greater Western Sydney,R6,6/5/2012,2012,6.7,6
Hawthorn,R6,5/5/2012,2012,18.15,6
Melbourne,R6,5/5/2012,2012,11.1,6
North Melbourne,R6,6/5/2012,2012,15.5,6
Port Adelaide,R6,6/5/2012,2012,8.6,6
Richmond,R6,6/5/2012,2012,13.13,6
St Kilda,R6,5/5/2012,2012,13.1,6
Sydney,R6,5/5/2012,2012,14.1,6
West Coast,R6,6/5/2012,2012,17.18,6
Western Bulldogs,R6,4/5/2012,2012,11.11,6
Adelaide,R7,12/5/2012,2012,19.8,7
Brisbane Lions,R7,12/5/2012,2012,8.1,7
Carlton,R7,14/5/2012,2012,14.14,7
Collingwood,R7,12/5/2012,2012,17.14,7
Essendon,R7,12/5/2012,2012,16.17,7
Fremantle,R7,13/5/2012,2012,12.15,7
Geelong,R7,12/5/2012,2012,10.12,7
Gold Coast,R7,12/5/2012,2012,9.13,7
Greater Western Sydney,R7,12/5/2012,2012,13.16,7
Hawthorn,R7,11/5/2012,2012,15.25,7
Melbourne,R7,11/5/2012,2012,6.13,7
North Melbourne,R7,13/5/2012,2012,12.11,7
Port Adelaide,R7,13/5/2012,2012,7.5,7
Richmond,R7,12/5/2012,2012,13.13,7
St Kilda,R7,14/5/2012,2012,19.8,7
Sydney,R7,12/5/2012,2012,8.14,7
West Coast,R7,12/5/2012,2012,7.1,7
Western Bulldogs,R7,13/5/2012,2012,15.11,7
Adelaide,R8,20/5/2012,2012,19.1,8
Brisbane Lions,R8,20/5/2012,2012,19.18,8
Carlton,R8,20/5/2012,2012,8.7,8
Collingwood,R8,18/5/2012,2012,14.12,8
Essendon,R8,19/5/2012,2012,19.14,8
Fremantle,R8,19/5/2012,2012,9.9,8
Geelong,R8,18/5/2012,2012,11.18,8
Gold Coast,R8,19/5/2012,2012,4.1,8
Greater Western Sydney,R8,20/5/2012,2012,5.1,8
Hawthorn,R8,19/5/2012,2012,17.17,8
Melbourne,R8,19/5/2012,2012,5.7,8
North Melbourne,R8,19/5/2012,2012,14.9,8
Port Adelaide,R8,19/5/2012,2012,14.11,8
Richmond,R8,19/5/2012,2012,15.19,8
St Kilda,R8,20/5/2012,2012,13.13,8
Sydney,R8,19/5/2012,2012,21.12,8
West Coast,R8,20/5/2012,2012,18.13,8
Western Bulldogs,R8,19/5/2012,2012,9.18,8
Adelaide,R9,26/5/2012,2012,6.13,9
Brisbane Lions,R9,27/5/2012,2012,15.6,9
Carlton,R9,27/5/2012,2012,15.17,9
Collingwood,R9,26/5/2012,2012,10.15,9
Essendon,R9,26/5/2012,2012,18.11,9
Fremantle,R9,27/5/2012,2012,5.6,9
Geelong,R9,25/5/2012,2012,14.11,9
Gold Coast,R9,26/5/2012,2012,10.1,9
Greater Western Sydney,R9,26/5/2012,2012,7.11,9
Hawthorn,R9,26/5/2012,2012,10.15,9
Melbourne,R9,27/5/2012,2012,6.13,9
North Melbourne,R9,27/5/2012,2012,17.1,9
Port Adelaide,R9,26/5/2012,2012,17.16,9
Richmond,R9,26/5/2012,2012,21.11,9
St Kilda,R9,26/5/2012,2012,16.15,9
Sydney,R9,26/5/2012,2012,12.11,9
West Coast,R9,27/5/2012,2012,11.18,9
Western Bulldogs,R9,25/5/2012,2012,11.9,9
Adelaide,R10,2/6/2012,2012,17.9,10
Brisbane Lions,R10,3/6/2012,2012,16.6,10
Carlton,R10,2/6/2012,2012,6.9,10
Collingwood,R10,3/6/2012,2012,23.11,10
Essendon,R10,2/6/2012,2012,6.16,10
Fremantle,R10,2/6/2012,2012,12.1,10
Geelong,R10,2/6/2012,2012,19.12,10
Gold Coast,R10,3/6/2012,2012,7.1,10
Greater Western Sydney,R10,2/6/2012,2012,9.7,10
Hawthorn,R10,2/6/2012,2012,27.12,10
Melbourne,R10,2/6/2012,2012,8.1,10
North Melbourne,R10,2/6/2012,2012,9.5,10
Port Adelaide,R10,2/6/2012,2012,14.15,10
Richmond,R10,1/6/2012,2012,18.13,10
St Kilda,R10,1/6/2012,2012,16.17,10
Sydney,R10,3/6/2012,2012,20.12,10
West Coast,R10,3/6/2012,2012,15.1,10
Western Bulldogs,R10,3/6/2012,2012,5.1,10
Carlton,R11,8/6/2012,2012,11.19,11
Collingwood,R11,11/6/2012,2012,19.15,11
Essendon,R11,9/6/2012,2012,11.16,11
Fremantle,R11,9/6/2012,2012,12.6,11
Geelong,R11,8/6/2012,2012,14.13,11
Gold Coast,R11,9/6/2012,2012,7.7,11
Hawthorn,R11,10/6/2012,2012,16.12,11
Melbourne,R11,11/6/2012,2012,13.9,11
Port Adelaide,R11,10/6/2012,2012,9.8,11
Richmond,R11,9/6/2012,2012,9.12,11
St Kilda,R11,9/6/2012,2012,21.18,11
Sydney,R11,9/6/2012,2012,13.8,11
Adelaide,R12,15/6/2012,2012,17.13,12
Brisbane Lions,R12,17/6/2012,2012,11.4,12
Carlton,R12,14/6/2012,2012,10.9,12
Gold Coast,R12,16/6/2012,2012,12.8,12
Greater Western Sydney,R12,16/6/2012,2012,12.2,12
Hawthorn,R12,17/6/2012,2012,19.21,12
North Melbourne,R12,16/6/2012,2012,11.21,12
Port Adelaide,R12,17/6/2012,2012,8.9,12
Richmond,R12,16/6/2012,2012,11.2,12
St Kilda,R12,15/6/2012,2012,16.15,12
West Coast,R12,14/6/2012,2012,10.19,12
Western Bulldogs,R12,17/6/2012,2012,13.17,12
Adelaide,R13,24/6/2012,2012,13.11,13
Brisbane Lions,R13,23/6/2012,2012,18.6,13
Collingwood,R13,23/6/2012,2012,12.13,13
Essendon,R13,23/6/2012,2012,17.11,13
Fremantle,R13,23/6/2012,2012,14.5,13
Geelong,R13,22/6/2012,2012,11.8,13
Greater Western Sydney,R13,24/6/2012,2012,9.3,13
Melbourne,R13,24/6/2012,2012,20.15,13
North Melbourne,R13,24/6/2012,2012,17.19,13
Sydney,R13,22/6/2012,2012,12.8,13
West Coast,R13,23/6/2012,2012,12.1,13
Western Bulldogs,R13,23/6/2012,2012,7.14,13
Adelaide,R14,30/6/2012,2012,17.4,14
Brisbane Lions,R14,1/7/2012,2012,18.14,14
Carlton,R14,29/6/2012,2012,10.1,14
Collingwood,R14,30/6/2012,2012,15.17,14
Essendon,R14,30/6/2012,2012,21.14,14
Fremantle,R14,30/6/2012,2012,12.6,14
Geelong,R14,1/7/2012,2012,14.15,14
Gold Coast,R14,30/6/2012,2012,5.1,14
Greater Western Sydney,R14,30/6/2012,2012,5.8,14
