Team,RoundOrder,Date,Year,Total Points,Cumulative Points
Adelaide,1,19/3/2023,2023,12.18,12.18
Adelaide,1,20/3/2014,2014,12.9,12.9
Adelaide,1,20/3/2021,2021,15.13,15.13
Adelaide,1,20/3/2022,2022,12.1,12.1
Adelaide,1,21/3/2020,2020,11.5,11.5
Adelaide,1,22/3/2013,2013,11.16,11.16
Adelaide,1,23/3/2018,2018,12.15,12.15
Adelaide,1,23/3/2019,2019,7.13,7.13
Adelaide,1,26/3/2016,2016,14.13,14.13
Adelaide,1,26/3/2017,2017,22.15,22.15
Adelaide,1,31/3/2012,2012,19.23,19.23
Adelaide,1,5/4/2015,2015,21.14,21.14
Adelaide,2,1/4/2017,2017,16.17,38.32
Adelaide,2,11/4/2015,2015,12.18,33.32
Adelaide,2,13/6/2020,2020,5.5,17.0
Adelaide,2,2/4/2016,2016,22.12,36.25
Adelaide,2,25/3/2023,2023,10.16,22.34
Adelaide,2,26/3/2022,2022,8.1,20.2
Adelaide,2,27/3/2021,2021,11.22,26.35
Adelaide,2,29/3/2014,2014,11.7,24.6
Adelaide,2,29/3/2018,2018,18.1,30.25
Adelaide,2,29/3/2019,2019,12.16,19.29
Adelaide,2,6/4/2013,2013,14.12,25.28
Adelaide,2,7/4/2012,2012,11.16,30.39
Adelaide,3,1/4/2022,2022,15.6,35.8
Adelaide,3,1/4/2023,2023,18.9,41.239999999999995
Adelaide,3,14/4/2013,2013,16.13,41.41
Adelaide,3,15/4/2012,2012,12.12,42.51
Adelaide,3,18/4/2015,2015,12.8,46.120000000000005
Adelaide,3,2/4/2021,2021,14.11,40.46
Adelaide,3,21/6/2020,2020,4.5,21.5
Adelaide,3,4/4/2019,2019,10.15,29.439999999999998
Adelaide,3,5/4/2014,2014,9.17,33.769999999999996
Adelaide,3,7/4/2018,2018,15.14,45.39
Adelaide,3,8/4/2017,2017,15.1,53.42
Adelaide,3,9/4/2016,2016,19.14,55.39
Adelaide,4,10/4/2022,2022,15.9,51.7
Adelaide,4,11/4/2021,2021,16.13,56.59
Adelaide,4,13/4/2014,2014,20.16,53.93
Adelaide,4,13/4/2018,2018,9.4,54.79
Adelaide,4,13/4/2019,2019,8.11,37.55
Adelaide,4,15/4/2017,2017,24.9,78.32
Adelaide,4,16/4/2016,2016,16.17,71.56
Adelaide,4,21/4/2012,2012,13.18,55.69
Adelaide,4,21/4/2013,2013,12.8,54.209999999999994
Adelaide,4,26/4/2015,2015,10.8,56.92
Adelaide,4,28/6/2020,2020,7.4,28.9
Adelaide,4,8/4/2023,2023,17.9,59.14
Adelaide,5,13/4/2023,2023,18.1,77.24
Adelaide,5,16/4/2022,2022,15.11,66.81
Adelaide,5,18/4/2021,2021,11.6,68.19
Adelaide,5,20/4/2014,2014,21.11,75.03999999999999
Adelaide,5,20/4/2018,2018,12.13,66.92
Adelaide,5,21/4/2019,2019,18.11,55.66
Adelaide,5,22/4/2016,2016,17.7,89.26
Adelaide,5,22/4/2017,2017,23.15,101.47
Adelaide,5,27/4/2013,2013,12.11,66.32
Adelaide,5,29/4/2012,2012,16.14,71.83
Adelaide,5,3/5/2015,2015,13.13,70.05
Adelaide,5,5/7/2020,2020,4.1,33.0
Adelaide,6,11/7/2020,2020,5.4,38.4
Adelaide,6,23/4/2022,2022,8.15,74.96
Adelaide,6,23/4/2023,2023,11.13,88.37
Adelaide,6,25/4/2021,2021,16.3,84.49000000000001
Adelaide,6,27/4/2014,2014,13.14,88.18
Adelaide,6,27/4/2019,2019,15.7,71.36
Adelaide,6,28/4/2018,2018,16.14,83.06
Adelaide,6,30/4/2016,2016,14.13,103.39
Adelaide,6,30/4/2017,2017,21.14,122.61
Adelaide,6,4/5/2013,2013,11.12,77.44
Adelaide,6,5/5/2012,2012,15.9,87.73
Adelaide,6,9/5/2015,2015,18.11,88.16
Adelaide,7,1/5/2021,2021,4.15,88.64
Adelaide,7,12/5/2012,2012,19.8,107.53
Adelaide,7,12/5/2013,2013,29.13,106.57
Adelaide,7,16/5/2015,2015,18.11,106.27000000000001
Adelaide,7,20/7/2020,2020,8.7,47.1
Adelaide,7,3/5/2014,2014,9.13,97.31
Adelaide,7,30/4/2022,2022,8.6,83.56
Adelaide,7,30/4/2023,2023,7.16,95.53
Adelaide,7,5/5/2018,2018,19.11,102.17
Adelaide,7,5/5/2019,2019,7.9,79.25999999999999
Adelaide,7,6/5/2017,2017,13.8,136.41
Adelaide,7,7/5/2016,2016,17.6,120.99000000000001
Adelaide,8,11/5/2019,2019,13.1,92.36
Adelaide,8,12/5/2018,2018,14.6,116.77
Adelaide,8,13/5/2016,2016,11.6,132.59
Adelaide,8,13/5/2017,2017,9.12,145.53
Adelaide,8,19/5/2013,2013,12.15,118.72
Adelaide,8,20/5/2012,2012,19.1,126.63
Adelaide,8,23/5/2015,2015,12.12,118.39
Adelaide,8,26/7/2020,2020,8.11,55.21
Adelaide,8,6/5/2023,2023,11.6,107.13
Adelaide,8,8/5/2021,2021,5.8,94.44
Adelaide,8,8/5/2022,2022,10.8,94.36
Adelaide,9,1/8/2020,2020,7.8,63.01
Adelaide,9,14/5/2022,2022,9.12,103.48
Adelaide,9,14/5/2023,2023,19.7,126.83
Adelaide,9,15/5/2014,2014,10.16,107.47
Adelaide,9,16/5/2021,2021,11.1,105.54
Adelaide,9,18/5/2018,2018,9.9,126.67
Adelaide,9,18/5/2019,2019,13.14,105.5
Adelaide,9,20/5/2017,2017,21.14,166.67000000000002
Adelaide,9,21/5/2016,2016,22.17,154.76000000000002
Adelaide,9,26/5/2012,2012,6.13,132.76
Adelaide,9,26/5/2013,2013,18.17,136.89
Adelaide,9,30/5/2015,2015,7.15,125.54
Adelaide,10,1/6/2013,2013,8.11,145.0
Adelaide,10,2/6/2012,2012,17.9,150.66
Adelaide,10,20/5/2023,2023,5.1,131.93
Adelaide,10,21/5/2022,2022,9.15,112.63
Adelaide,10,22/5/2021,2021,15.6,121.14
Adelaide,10,25/5/2014,2014,10.16,117.63
Adelaide,10,25/5/2019,2019,10.13,115.63
Adelaide,10,27/5/2017,2017,20.23,186.9
Adelaide,10,27/5/2018,2018,8.7,135.37
Adelaide,10,28/5/2016,2016,15.17,169.93
Adelaide,10,5/8/2020,2020,5.7,68.71
Adelaide,10,6/6/2015,2015,14.15,139.69
Adelaide,11,1/6/2014,2014,16.13,133.76
Adelaide,11,1/6/2019,2019,14.6,130.23
Adelaide,11,11/8/2020,2020,5.8,74.51
Adelaide,11,2/6/2017,2017,10.14,197.04
Adelaide,11,28/5/2022,2022,7.13,119.76
Adelaide,11,28/5/2023,2023,14.11,146.04
Adelaide,11,3/6/2018,2018,11.15,146.52
Adelaide,11,30/5/2021,2021,12.11,133.25
Adelaide,11,5/6/2016,2016,19.19,189.12
Adelaide,11,8/6/2013,2013,6.14,151.14
Adelaide,12,10/6/2018,2018,9.14,155.66
Adelaide,12,11/6/2016,2016,15.15,204.27
Adelaide,12,15/6/2012,2012,17.13,167.79
Adelaide,12,15/6/2013,2013,10.12,161.26
Adelaide,12,16/8/2020,2020,8.6,83.11
Adelaide,12,18/6/2015,2015,12.13,151.82
Adelaide,12,3/6/2023,2023,13.9,159.94
Adelaide,12,4/6/2022,2022,13.1,132.86
Adelaide,12,5/6/2021,2021,10.13,143.38
Adelaide,12,8/6/2014,2014,7.8,141.56
Adelaide,12,8/6/2019,2019,12.1,142.32999999999998
Adelaide,12,9/6/2017,2017,16.15,213.19
Adelaide,13,10/6/2023,2023,27.12,187.06
Adelaide,13,12/6/2021,2021,9.12,152.5
Adelaide,13,13/6/2019,2019,15.11,157.44
Adelaide,13,14/6/2014,2014,16.13,157.69
Adelaide,13,16/6/2018,2018,4.8,160.46
Adelaide,13,23/8/2020,2020,5.7,88.81
Adelaide,13,24/6/2012,2012,13.11,180.9
Adelaide,13,27/6/2015,2015,11.16,162.98000000000002
Adelaide,14,19/6/2022,2022,10.13,142.99
Adelaide,14,21/6/2014,2014,14.8,172.49
Adelaide,14,22/6/2017,2017,12.1,225.29
Adelaide,14,23/6/2016,2016,12.28,216.55
Adelaide,14,29/6/2013,2013,16.15,177.41
Adelaide,14,30/6/2012,2012,17.4,198.3
Adelaide,15,1/7/2017,2017,13.11,238.4
Adelaide,15,1/9/2020,2020,12.11,100.92
Adelaide,15,11/7/2015,2015,14.7,177.68
Adelaide,15,25/6/2023,2023,11.14,198.2
Adelaide,15,26/6/2022,2022,17.13,160.12
Adelaide,15,27/6/2021,2021,10.13,162.63
Adelaide,15,28/6/2019,2019,10.9,168.34
Adelaide,15,29/6/2014,2014,14.15,186.64
Adelaide,15,3/7/2016,2016,18.12,234.67000000000002
Adelaide,15,30/6/2018,2018,12.16,172.62
Adelaide,15,6/7/2013,2013,9.15,186.56
Adelaide,15,7/7/2012,2012,17.14,215.44
Adelaide,16,1/7/2023,2023,21.12,219.32
Adelaide,16,10/7/2016,2016,16.11,250.78
Adelaide,16,12/7/2013,2013,12.12,198.67999999999998
Adelaide,16,15/7/2012,2012,27.16,242.6
Adelaide,16,19/7/2015,2015,18.8,196.48000000000002
Adelaide,16,2/7/2022,2022,10.5,170.62
Adelaide,16,3/7/2021,2021,8.11,170.74
Adelaide,16,5/7/2014,2014,20.2,206.84
Adelaide,16,6/7/2018,2018,8.8,181.42000000000002
Adelaide,16,6/7/2019,2019,5.14,173.48
Adelaide,16,7/7/2017,2017,16.8,255.2
Adelaide,16,8/9/2020,2020,8.11,109.03
Adelaide,17,10/7/2022,2022,8.6,179.22
Adelaide,17,11/7/2014,2014,14.8,221.64
Adelaide,17,12/7/2018,2018,16.16,197.58
Adelaide,17,13/7/2019,2019,23.13,196.60999999999999
Adelaide,17,13/9/2020,2020,10.12,119.14999999999999
Adelaide,17,15/7/2017,2017,17.14,272.34000000000003
Adelaide,17,16/7/2016,2016,14.13,264.91
Adelaide,17,21/7/2012,2012,19.1,261.7
Adelaide,17,21/7/2013,2013,14.1,212.78
Adelaide,17,25/7/2015,2015,19.11,215.59
Adelaide,17,9/7/2021,2021,2.9,173.64000000000001
Adelaide,17,9/7/2023,2023,15.7,235.02
Adelaide,18,1/8/2015,2015,9.11,224.7
Adelaide,18,15/7/2023,2023,8.9,243.92
Adelaide,18,16/7/2022,2022,13.8,193.02
Adelaide,18,18/7/2021,2021,8.8,182.44
Adelaide,18,19/7/2019,2019,10.15,206.76
Adelaide,18,19/9/2020,2020,4.9,124.05
Adelaide,18,21/7/2017,2017,13.13,285.47
Adelaide,18,21/7/2018,2018,13.15,210.73
Adelaide,18,23/7/2016,2016,7.13,272.04
Adelaide,18,27/7/2013,2013,7.11,219.89
Adelaide,18,27/7/2014,2014,14.14,235.78
Adelaide,18,28/7/2012,2012,11.9,273.6
Adelaide,19,2/8/2014,2014,16.9,252.68
Adelaide,19,23/7/2022,2022,12.13,205.15
Adelaide,19,23/7/2023,2023,13.15,257.07
Adelaide,19,24/7/2021,2021,16.6,199.04000000000002
Adelaide,19,27/7/2019,2019,9.6,216.35999999999999
Adelaide,19,28/7/2018,2018,10.17,220.9
Adelaide,19,30/7/2017,2017,16.7,302.17
Adelaide,19,31/7/2016,2016,22.11,294.15000000000003
Adelaide,19,4/8/2013,2013,15.13,235.01999999999998
Adelaide,19,5/8/2012,2012,16.8,290.4
Adelaide,19,7/8/2015,2015,11.22,235.92000000000002
Adelaide,20,10/8/2014,2014,25.18,277.86
Adelaide,20,11/8/2012,2012,17.17,307.57
Adelaide,20,11/8/2013,2013,11.13,246.14999999999998
Adelaide,20,15/8/2015,2015,27.9,263.82
Adelaide,20,29/7/2023,2023,16.16,273.23
Adelaide,20,3/8/2019,2019,14.8,231.16
Adelaide,20,30/7/2022,2022,12.12,217.27
Adelaide,20,31/7/2021,2021,8.8,207.84
Adelaide,20,4/8/2018,2018,13.18,234.08
Adelaide,20,6/8/2016,2016,27.15,321.3
