Team,Round,Date,Year,Total Points
Adelaide,EF,10/9/2016,2016,21.15
Adelaide,EF,12/9/2015,2015,16.13
Adelaide,GF,30/9/2017,2017,8.12
Adelaide,PF,22/9/2012,2012,14.8
Adelaide,PF,22/9/2017,2017,21.1
Adelaide,QF,7/9/2017,2017,12.12
Adelaide,QF,8/9/2012,2012,5.12
Adelaide,R1,19/3/2023,2023,12.18
Adelaide,R1,20/3/2014,2014,12.9
Adelaide,R1,20/3/2021,2021,15.13
Adelaide,R1,20/3/2022,2022,12.1
Adelaide,R1,21/3/2020,2020,11.5
Adelaide,R1,22/3/2013,2013,11.16
Adelaide,R1,23/3/2018,2018,12.15
Adelaide,R1,23/3/2019,2019,7.13
Adelaide,R1,26/3/2016,2016,14.13
Adelaide,R1,26/3/2017,2017,22.15
Adelaide,R1,31/3/2012,2012,19.23
Adelaide,R1,5/4/2015,2015,21.14
Adelaide,R10,1/6/2013,2013,8.11
Adelaide,R10,2/6/2012,2012,17.9
Adelaide,R10,20/5/2023,2023,5.1
Adelaide,R10,21/5/2022,2022,9.15
Adelaide,R10,22/5/2021,2021,15.6
Adelaide,R10,25/5/2014,2014,10.16
Adelaide,R10,25/5/2019,2019,10.13
Adelaide,R10,27/5/2017,2017,20.23
Adelaide,R10,27/5/2018,2018,8.7
Adelaide,R10,28/5/2016,2016,15.17
Adelaide,R10,5/8/2020,2020,5.7
Adelaide,R10,6/6/2015,2015,14.15
Adelaide,R11,1/6/2014,2014,16.13
Adelaide,R11,1/6/2019,2019,14.6
Adelaide,R11,11/8/2020,2020,5.8
Adelaide,R11,2/6/2017,2017,10.14
Adelaide,R11,28/5/2022,2022,7.13
Adelaide,R11,28/5/2023,2023,14.11
Adelaide,R11,3/6/2018,2018,11.15
Adelaide,R11,30/5/2021,2021,12.11
Adelaide,R11,5/6/2016,2016,19.19
Adelaide,R11,8/6/2013,2013,6.14
Adelaide,R12,10/6/2018,2018,9.14
Adelaide,R12,11/6/2016,2016,15.15
Adelaide,R12,15/6/2012,2012,17.13
Adelaide,R12,15/6/2013,2013,10.12
Adelaide,R12,16/8/2020,2020,8.6
Adelaide,R12,18/6/2015,2015,12.13
Adelaide,R12,3/6/2023,2023,13.9
Adelaide,R12,4/6/2022,2022,13.1
Adelaide,R12,5/6/2021,2021,10.13
Adelaide,R12,8/6/2014,2014,7.8
Adelaide,R12,8/6/2019,2019,12.1
Adelaide,R12,9/6/2017,2017,16.15
Adelaide,R13,10/6/2023,2023,27.12
Adelaide,R13,12/6/2021,2021,9.12
Adelaide,R13,13/6/2019,2019,15.11
Adelaide,R13,14/6/2014,2014,16.13
Adelaide,R13,16/6/2018,2018,4.8
Adelaide,R13,23/8/2020,2020,5.7
Adelaide,R13,24/6/2012,2012,13.11
Adelaide,R13,27/6/2015,2015,11.16
Adelaide,R14,19/6/2022,2022,10.13
Adelaide,R14,21/6/2014,2014,14.8
Adelaide,R14,22/6/2017,2017,12.1
Adelaide,R14,23/6/2016,2016,12.28
Adelaide,R14,29/6/2013,2013,16.15
Adelaide,R14,30/6/2012,2012,17.4
Adelaide,R15,1/7/2017,2017,13.11
Adelaide,R15,1/9/2020,2020,12.11
Adelaide,R15,11/7/2015,2015,14.7
Adelaide,R15,25/6/2023,2023,11.14
Adelaide,R15,26/6/2022,2022,17.13
Adelaide,R15,27/6/2021,2021,10.13
Adelaide,R15,28/6/2019,2019,10.9
Adelaide,R15,29/6/2014,2014,14.15
Adelaide,R15,3/7/2016,2016,18.12
Adelaide,R15,30/6/2018,2018,12.16
Adelaide,R15,6/7/2013,2013,9.15
Adelaide,R15,7/7/2012,2012,17.14
Adelaide,R16,1/7/2023,2023,21.12
Adelaide,R16,10/7/2016,2016,16.11
Adelaide,R16,12/7/2013,2013,12.12
Adelaide,R16,15/7/2012,2012,27.16
Adelaide,R16,19/7/2015,2015,18.8
Adelaide,R16,2/7/2022,2022,10.5
Adelaide,R16,3/7/2021,2021,8.11
Adelaide,R16,5/7/2014,2014,20.2
Adelaide,R16,6/7/2018,2018,8.8
Adelaide,R16,6/7/2019,2019,5.14
Adelaide,R16,7/7/2017,2017,16.8
Adelaide,R16,8/9/2020,2020,8.11
Adelaide,R17,10/7/2022,2022,8.6
Adelaide,R17,11/7/2014,2014,14.8
Adelaide,R17,12/7/2018,2018,16.16
Adelaide,R17,13/7/2019,2019,23.13
Adelaide,R17,13/9/2020,2020,10.12
Adelaide,R17,15/7/2017,2017,17.14
Adelaide,R17,16/7/2016,2016,14.13
Adelaide,R17,21/7/2012,2012,19.1
Adelaide,R17,21/7/2013,2013,14.1
Adelaide,R17,25/7/2015,2015,19.11
Adelaide,R17,9/7/2021,2021,2.9
Adelaide,R17,9/7/2023,2023,15.7
Adelaide,R18,1/8/2015,2015,9.11
Adelaide,R18,15/7/2023,2023,8.9
Adelaide,R18,16/7/2022,2022,13.8
Adelaide,R18,18/7/2021,2021,8.8
Adelaide,R18,19/7/2019,2019,10.15
Adelaide,R18,19/9/2020,2020,4.9
Adelaide,R18,21/7/2017,2017,13.13
Adelaide,R18,21/7/2018,2018,13.15
Adelaide,R18,23/7/2016,2016,7.13
Adelaide,R18,27/7/2013,2013,7.11
Adelaide,R18,27/7/2014,2014,14.14
Adelaide,R18,28/7/2012,2012,11.9
Adelaide,R19,2/8/2014,2014,16.9
Adelaide,R19,23/7/2022,2022,12.13
Adelaide,R19,23/7/2023,2023,13.15
Adelaide,R19,24/7/2021,2021,16.6
Adelaide,R19,27/7/2019,2019,9.6
Adelaide,R19,28/7/2018,2018,10.17
Adelaide,R19,30/7/2017,2017,16.7
Adelaide,R19,31/7/2016,2016,22.11
Adelaide,R19,4/8/2013,2013,15.13
Adelaide,R19,5/8/2012,2012,16.8
Adelaide,R19,7/8/2015,2015,11.22
Adelaide,R2,1/4/2017,2017,16.17
Adelaide,R2,11/4/2015,2015,12.18
Adelaide,R2,13/6/2020,2020,5.5
Adelaide,R2,2/4/2016,2016,22.12
Adelaide,R2,25/3/2023,2023,10.16
Adelaide,R2,26/3/2022,2022,8.1
Adelaide,R2,27/3/2021,2021,11.22
Adelaide,R2,29/3/2014,2014,11.7
Adelaide,R2,29/3/2018,2018,18.1
Adelaide,R2,29/3/2019,2019,12.16
Adelaide,R2,6/4/2013,2013,14.12
Adelaide,R2,7/4/2012,2012,11.16
Adelaide,R20,10/8/2014,2014,25.18
Adelaide,R20,11/8/2012,2012,17.17
Adelaide,R20,11/8/2013,2013,11.13
Adelaide,R20,15/8/2015,2015,27.9
Adelaide,R20,29/7/2023,2023,16.16
Adelaide,R20,3/8/2019,2019,14.8
Adelaide,R20,30/7/2022,2022,12.12
Adelaide,R20,31/7/2021,2021,8.8
Adelaide,R20,4/8/2018,2018,13.18
Adelaide,R20,6/8/2016,2016,27.15
Adelaide,R20,6/8/2017,2017,18.22
Adelaide,R21,11/8/2018,2018,13.14
Adelaide,R21,11/8/2019,2019,12.8
Adelaide,R21,12/8/2017,2017,18.15
Adelaide,R21,14/8/2016,2016,21.16
Adelaide,R21,16/8/2014,2014,9.15
Adelaide,R21,18/8/2012,2012,12.13
Adelaide,R21,18/8/2013,2013,17.12
Adelaide,R21,22/8/2015,2015,20.11
Adelaide,R21,5/8/2023,2023,13.11
Adelaide,R21,7/8/2021,2021,7.9
Adelaide,R21,7/8/2022,2022,16.6
Adelaide,R22,12/8/2023,2023,13.15
Adelaide,R22,13/8/2022,2022,15.13
Adelaide,R22,15/8/2021,2021,9.9
Adelaide,R22,17/8/2019,2019,6.12
Adelaide,R22,18/8/2017,2017,11.14
Adelaide,R22,19/8/2018,2018,12.14
Adelaide,R22,20/8/2016,2016,15.19
Adelaide,R22,23/8/2014,2014,13.16
Adelaide,R22,24/8/2013,2013,18.12
Adelaide,R22,26/8/2012,2012,22.18
Adelaide,R22,30/8/2015,2015,19.12
Adelaide,R23,1/9/2012,2012,22.21
Adelaide,R23,19/8/2023,2023,10.13
Adelaide,R23,20/8/2022,2022,7.13
Adelaide,R23,22/8/2021,2021,13.2
Adelaide,R23,25/8/2018,2018,26.9
Adelaide,R23,25/8/2019,2019,13.9
Adelaide,R23,26/8/2016,2016,10.11
Adelaide,R23,27/8/2017,2017,10.11
Adelaide,R23,31/8/2013,2013,19.15
Adelaide,R23,31/8/2014,2014,22.9
Adelaide,R23,5/9/2015,2015,11.14
Adelaide,R24,26/8/2023,2023,17.21
Adelaide,R3,1/4/2022,2022,15.6
Adelaide,R3,1/4/2023,2023,18.9
Adelaide,R3,14/4/2013,2013,16.13
Adelaide,R3,15/4/2012,2012,12.12
Adelaide,R3,18/4/2015,2015,12.8
Adelaide,R3,2/4/2021,2021,14.11
Adelaide,R3,21/6/2020,2020,4.5
Adelaide,R3,4/4/2019,2019,10.15
Adelaide,R3,5/4/2014,2014,9.17
Adelaide,R3,7/4/2018,2018,15.14
Adelaide,R3,8/4/2017,2017,15.1
Adelaide,R3,9/4/2016,2016,19.14
Adelaide,R4,10/4/2022,2022,15.9
Adelaide,R4,11/4/2021,2021,16.13
Adelaide,R4,13/4/2014,2014,20.16
Adelaide,R4,13/4/2018,2018,9.4
Adelaide,R4,13/4/2019,2019,8.11
Adelaide,R4,15/4/2017,2017,24.9
Adelaide,R4,16/4/2016,2016,16.17
Adelaide,R4,21/4/2012,2012,13.18
Adelaide,R4,21/4/2013,2013,12.8
Adelaide,R4,26/4/2015,2015,10.8
Adelaide,R4,28/6/2020,2020,7.4
Adelaide,R4,8/4/2023,2023,17.9
Adelaide,R5,13/4/2023,2023,18.1
Adelaide,R5,16/4/2022,2022,15.11
Adelaide,R5,18/4/2021,2021,11.6
Adelaide,R5,20/4/2014,2014,21.11
Adelaide,R5,20/4/2018,2018,12.13
Adelaide,R5,21/4/2019,2019,18.11
Adelaide,R5,22/4/2016,2016,17.7
Adelaide,R5,22/4/2017,2017,23.15
Adelaide,R5,27/4/2013,2013,12.11
Adelaide,R5,29/4/2012,2012,16.14
Adelaide,R5,3/5/2015,2015,13.13
Adelaide,R5,5/7/2020,2020,4.1
Adelaide,R6,11/7/2020,2020,5.4
Adelaide,R6,23/4/2022,2022,8.15
Adelaide,R6,23/4/2023,2023,11.13
Adelaide,R6,25/4/2021,2021,16.3
Adelaide,R6,27/4/2014,2014,13.14
Adelaide,R6,27/4/2019,2019,15.7
Adelaide,R6,28/4/2018,2018,16.14
Adelaide,R6,30/4/2016,2016,14.13
Adelaide,R6,30/4/2017,2017,21.14
Adelaide,R6,4/5/2013,2013,11.12
Adelaide,R6,5/5/2012,2012,15.9
Adelaide,R6,9/5/2015,2015,18.11
Adelaide,R7,1/5/2021,2021,4.15
Adelaide,R7,12/5/2012,2012,19.8
Adelaide,R7,12/5/2013,2013,29.13
Adelaide,R7,16/5/2015,2015,18.11
Adelaide,R7,20/7/2020,2020,8.7
Adelaide,R7,3/5/2014,2014,9.13
Adelaide,R7,30/4/2022,2022,8.6
Adelaide,R7,30/4/2023,2023,7.16
Adelaide,R7,5/5/2018,2018,19.11
Adelaide,R7,5/5/2019,2019,7.9
